exp	commit	description	total_time_s	likelihood	tree_acc	geno_acc	status
1	4a899dd	remove redundant struct_copy_tree in eval	5.8660	-15164.22	0.0000	0.9939	PASS
2	71d8065	cache transposed transition matrix	5.8671	-15164.22	0.0000	0.9939	PASS-NO-IMPROVEMENT
3	e6f6b4d	merge 3 GPU allocs into 1	5.7232	-15164.22	0.0000	0.9939	PASS
4	f64cba0	reuse GPU buffers across iterations	5.7838	-15164.22	0.0000	0.9939	PASS-NO-IMPROVEMENT
5	993142e	optimize 3vecdot register caching	5.8009	-15164.22	0.0000	0.9939	PASS-NO-IMPROVEMENT
7	38c859f	optimize topology + fix O(n^2) topo sort	5.4983	-15164.22	0.0000	0.9939	PASS
8	4d64fca	cache compiled kernels in __init__	5.5440	-15164.22	0.0000	0.9939	PASS-NO-IMPROVEMENT
9	c161e94	replace get_siblings with fast _sibling	5.1129	-15164.22	0.0000	0.9939	PASS
10	535d560	np.array then cp.asarray	5.0505	-15164.22	0.0000	0.9939	PASS
11	8a15d66	streamline struct_copy_tree	5.0034	-15164.22	0.0000	0.9939	PASS
12	3654761	single batch eval all candidates	5.0613	-15164.22	0.0000	0.9939	PASS-NO-IMPROVEMENT
13	62041fc	derive down-pass from reversed up-pass	4.7992	-15164.22	0.0000	0.9939	PASS
14	a05bd99	merge scoring index with node_id_map	4.7175	-15164.22	0.0000	0.9939	PASS
15	d43e4ab	skip leaf nodes in Q-pass	4.5796	-15164.22	0.0000	0.9939	PASS
16	95eee84	triple-fused kernel add+dual_matmul	4.6020	-15164.22	0.0000	0.9939	PASS-NO-IMPROVEMENT
17	23ef685	optimize calcualte_U with contiguous arrays	4.5487	-15164.22	0.0000	0.9939	PASS
18	0baf01e	optimize NNI candidate gen	4.5281	-15164.22	0.0000	0.9939	PASS
